,ASIN,AMAZON_TITLE,UPC_TITLE,label
0,B08P39681H,"Rockstar Pure Zero Energy Drink, Grape, 0 Sugar, with Caffeine and Taurine, 16oz Cans (12 Pack) (Packaging May Vary)",Rockstar Pure Zero Energy Drink Grape 16 Fluid Ounce Can 12 Pack,1
1,B0040QCJDG,"Rockstar Punched Energy Drink, with Caffeine and Taurine, 16oz (24 Pack) (Packaging May Vary)",Rockstar Punched Energy Drink Fruit Punch 16 Fl Oz 24 Count,1
2,B087K1L9C4,"CYTOSPORT Sleeping Giant, Nighttime Protein Supplement Mix, Vanilla Caramel, 1.5oz Packet, 50pk",SLEEPING GIANT VANCARM 50PKT,1
3,B08P39M3LV,"Rockstar Energy Drink Super Green sugar COQ10 and Electrolytes 16 Fl Oz (Pack of 12) Cans Pack Packaging May Vary, Xdurance Sour Apple,",Rockstar Xdurance  Energy Drink Super Sours Green Apple 16 Fluid Ounce Can 12 Pack,1
4,B013WHJD96,"Muscle Milk Original Protein Shake, Vanilla Crème, 34g Protein, 17 Fl Oz (Pack of 12)","Muscle Milk Genuine Vanilla, 17 Fl Oz",1
5,B094F9QJGS,"Rockstar Pure Zero Energy Drink,3 Flavor Pure Zero Variety Pack 2, 0 Sugar, with Caffeine and Taurine, 16oz Cans (12 Pack) (Packaging May Vary)",Rockstar Pure Zero Energy Drink Variety Pack 16 Fluid Ounce/12,1
6,B08TFTS8R4,"Bang Energy Delish Strawberry Kiss 16oz 12Pk, 12Count","Bang Energy Delish Strawberry Kiss 16oz 12Pk, 12Count",1
7,B07NVTJ4L9,"VPX (Vital Pharmaceuticals) Bang Energy Drink with Zero Calories High Caffeine, Frose Rose (12 Drinks)",Bang Frose Rose 16 Fluid Ounce Can 12 Pack,1
8,B079NC1KCJ,"Rockstar Pure Zero Energy Drink, Mandarin Orange, 0 sugar, with Caffeine and Taurine, 16oz (Pack of 24) (Packaging May Vary)",Rockstar Pure Zero Energy Drink Mandarin Orange 16 Fl Oz 24 Count Cans,1
9,B00JPY33RY,"IZZE Sparkling Juice Drink, Real Fruit Juice, No added sugar or preservatives, 2 Flavor Variety Pack, 12oz Glass Bottles (12Pack)",IZZE 12OZ 1/12PK CLEM-BB ECOMM MIXED,1
10,B08MXMXZ6H,"Bang Energy Natural Energy Drink Variety Pack, Natrual Variety Pack, 12 Count",Bang Natural VP CAC/FR/MB 16 FL OZ CAN 12 PACK ECOMM,1
11,B00SWV4NES,"Bang Star Blast Energy Drink, 0 Calories, Sugar Free with Super Creatine, 16 Fl Oz (Pack of 12)",Bang Star Blast 16 Fluid Ounce Can 12 Pack,1
12,B008UQLZ5A,"O.N.E. Pure Coconut Water, Non-GMO Project Verified, No Added Sugar, Gluten Free, 16.9 Ounce (Pack of 12)","O.N.E. Pure Coconut Water, 16.9 Ounce (Pack Of 12)",1
13,B06XZPPM2B,"Evolve Plant Based Protein Shake, Café Mocha, 20g Vegan Protein, Dairy Free, No Artificial Sweeteners, Non-GMO, 10g Fiber, 11oz, (12 Pack) (Formula May Vary)","Evolve Protein Shake, Mellow Mocha, 11 Fl Oz",1
14,B07VDS4F8J,"Gamesa Single Serve Holiday Variety Pack, (11 Pack)","Gamesa Single Serve Holiday Variety Pack, (11 Pack)",1
15,B09YHW27C3,Bang Planet Pomegranate Sweet Ice Tea Energy Drink,Bang Planet Pomegranate Sweet Ice Tea 16 Fluid Ounce Can 12 Pack,1
16,B0021FA5P2,"Muscle Milk Genuine Ready-To-Drink Supplement, Vanilla, 4 Count",Muscle Milk Non Dairy Vanilla Cream 11OZ 3/4PK,1
17,B08FFH97HP,"Rockstar Limited Edition Samurai Cola Energy Drink, Caffeine and Taurine, 16 oz cans, 12 Count",Rockstar Cyberpunk Samurai Cola 16 Fluid Ounce Can 12 Pack,1
18,B07L79F1W1,"Bang Bangster Berry Energy Drink, 0 Calories, Sugar Free with Super Creatine, 16 Fl Oz (Pack of 12)",Bang Bangster Berry 16 Fluid Ounce Can 12 Pack,1
19,B07CGL7VF1,"IZZE Sparkling Juice, Clementine, 8.4 oz Cans, 12 Count",Izze Peach 8.4 Fluid Ounce Can,1
20,B07C89DPLN,"IZZE Sparkling Juice, Blackberry, 8.4 oz Cans, 12 Count",Izze Blackberry 8.4 Fluid Ounce Can/12,1
21,B08J933M2C,Bang Krazy Key Lime Pie 16oz 12pk,"Bang Energy Key Lime 16oz 12Pk, 12Count",1
22,B06Y132681,"Evolve Plant Based Protein Shake, Vanilla Bean, 20g Vegan Protein, Dairy Free, No Artificial Sweeteners, Non-GMO, 10g Fiber, 11 fl oz, (12 Pack) (Formula May Vary)","Evolve Protein Shake, Ideal Vanilla, 11 Fl Oz",1
23,B09VLJ2N25,"Rockstar Energy Drink Punched Berry Sangria, 16oz Cans (12 Pack)",Rockstar Bry Sangria Natl 16Zcn12P,1
24,B07BR9NPRD,"Bang Cherry Blade Lemonade Energy Drink, 0 Calories, Sugar Free with Super Creatine, 16 Fl Oz (Pack of 12)",Bang Cherry Blade Lemonade 16 Fluid Ounce Can 12 Pack,1
25,B00G70OX00,"Bang Blue Razz Energy Drink, 0 Calories, Sugar Free with Super Creatine, 16 Fl Oz (Pack of 12) (Packaging May Vary)","VPX Bang, Blue Razz, 16 Fl Oz (12 Count)",1
26,B07H4XR6XV,"Health Warrior Mug Muffins, Variety Pack, 6 Muffins",Health Warrior Protein Mug Muffins Variety 12.06 Oz 6 Count,1
27,B07P7CV1K9,"Evolve Plant-Based Protein & Greens, Carrot Lemon Ginger, 11 Fl Oz (Pack of 12)",EVOLVE P&G RTD 3/4PK/11OZ CARROT GINGER,1
28,B01N1OUZU7,"POPCORNERS Carnival Kettle, Popped Corn Chips, 7ounce (pack of 1)","POPCORNERS Carnival Kettle, Popped Corn Chips (7oz)",1
29,B09VM84QTY,"Beyond Meat Plant-Based Jerky, Hot & Spicy, 3oz Bag",Beyond Meat Hot & Spicy Plant-Based Jerky 3oz,1
30,B07CJ8GTFT,"IZZE Sparkling Juice, 3 Flavor Variety Pack, 8.4 oz Cans, 12 Count",Izze Sparkling Juice Beverage Blend Variety Pack Clem/Apple/Peach 8.4 Fl Oz 12 Count Cans,1
31,B0BMM7G1KS,"Rockstar Pure Zero Energy Drink, Strawberry Peach, 0 Sugar, with Caffeine and Taurine, 16oz Cans (12 Pack)",Rockstar Pure Zero Strawberry Peach 16 Fluid Ounce Can 12 Pack,1
32,B01MYFE1UQ,"Bang Black Cherry Vanilla Energy Drink, 0 Calories, Sugar Free with Super Creatine, 16 Fl Oz (Pack of 12)",Bang Black Cherry Vanilla 16 Fluid Ounce Can 12 Pack,1
